"","Country","Region","Rank","HI","PCI","Family","Health","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","long","lat"
"74","Indonesia","Southeastern Asia",74,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,1.86399,121.1832979,-2.4622968
"75","Vietnam","Southeastern Asia",75,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,NA,NA
"76","Turkey","Middle East and Northern Africa",76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,36.28703317,38.27069555
"77","Kyrgyzstan","Central and Eastern Europe",77,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,74.25524574,41.11509878
"78","Nigeria","Sub-Saharan Africa",78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,7.82933373,9.02165273
"79","Bhutan","Southern Asia",79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,90.433603,27.50752756
"80","Azerbaijan","Central and Eastern Europe",80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,47.46706372,40.35321757
"81","Pakistan","Southern Asia",81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,70.34487986,29.90335974
"82","Jordan","Middle East and Northern Africa",82,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,36.3757551,31.31616588
"83","Montenegro","Central and Eastern Europe",82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,19.09699321,42.7169959
"84","China","Eastern Asia",84,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,103.558192,36.7145744
"85","Zambia","Sub-Saharan Africa",85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,28.33274444,-13.01812188
"86","Romania","Central and Eastern Europe",86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,25.21945155,45.56450023
"87","Serbia","Central and Eastern Europe",87,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2.025,20.29725084,44.06736041
"88","Portugal","Western Europe",88,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,-8.03768042,39.44879136
"89","Latvia","Central and Eastern Europe",89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,1.62215,24.54826936,56.86697515
"90","Philippines","Southeastern Asia",90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,121.774017,12.823612
"91","Somaliland region","Sub-Saharan Africa",91,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2.11032,NA,NA
"92","Morocco","Middle East and Northern Africa",92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,-7.26839325,31.95441758
"93","Macedonia","Central and Eastern Europe",93,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.73933,21.745279,41.60059479
"94","Mozambique","Sub-Saharan Africa",94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,33.81570282,-19.07617816
"95","Albania","Central and Eastern Europe",95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,19.87170014,41.00017358
"96","Bosnia and Herzegovina","Central and Eastern Europe",96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,17.8164091,44.00040856
"97","Lesotho","Sub-Saharan Africa",97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,28.233612,-29.60303205
"98","Dominican Republic","Latin America and Caribbean",98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,-70.162649,18.73076761
"99","Laos","Southeastern Asia",99,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,103.6161135,17.76075593
"100","Mongolia","Eastern Asia",100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,104.3080898,46.8055627
"101","Swaziland","Sub-Saharan Africa",101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,31.47960891,-26.5389257
"102","Greece","Western Europe",102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,1.80101,24.53794505,38.52254746
"103","Lebanon","Middle East and Northern Africa",103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,35.66454309,34.08249284
"104","Hungary","Central and Eastern Europe",104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,19.35499657,46.97670384
"105","Honduras","Latin America and Caribbean",105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,-87.01643713,14.64994423
"106","Tajikistan","Central and Eastern Europe",106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399,71.23215769,38.68075124
"107","Tunisia","Middle East and Northern Africa",107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,9.71878341,33.8843194
"108","Palestinian Territories","Middle East and Northern Africa",108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384,NA,NA
"109","Bangladesh","Southern Asia",109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,90.49915527,24.08273251
"110","Iran","Middle East and Northern Africa",110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,51.28204814,31.40240324
"111","Ukraine","Central and Eastern Europe",111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,31.1051692,48.89358596
"112","Iraq","Middle East and Northern Africa",112,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,1.95335,43.19590056,32.90170182
"113","South Africa","Sub-Saharan Africa",113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,24.50856092,-27.17706863
"114","Ghana","Sub-Saharan Africa",114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,-1.29234904,7.69154199
"115","Zimbabwe","Sub-Saharan Africa",115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,30.18758584,-19.00784952
"116","Liberia","Sub-Saharan Africa",116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,-9.39103485,6.44154681
"117","India","Southern Asia",117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,78.50146222,20.46549519
"118","Sudan","Sub-Saharan Africa",118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,30.37145459,15.96646839
