Country ,long,lat
Trinidad and Tobago,-61.222503,10.43241863
Tunisia,9.71878341,33.8843194
Turkey,36.28703317,38.27069555
Turkmenistan,59.06190323,38.94915421
Turks and Caicos Islands,-71.79654471,21.72816866
Tuvalu,179.1331094,-8.45968122
Uganda,32.44409759,1.5476062
Ukraine,31.1051692,48.89358596
United Arab Emirates,53.62261227,24.64324405
United Kingdom,-2.72184767,53.36540813
United States,-102.3925645,37.66895362
United States Minor Outlying Islands,177.9863109,19.46305694
United States Virgin Islands,-64.7741141,18.01000938
Uruguay,-55.765833,-32.49342987
Uzbekistan,62.6297096,41.30829147
Vanuatu,166.95916,-15.37256614
Vatican City State,12.45340142,41.9037781
Venezuela,-65.94152264,5.98477766
Viet Nam,107.140128,17.19931699
Virgin Islands,-64.7741101,17.67004187
Wallis and Futuna,-178.116498,-14.29378486
Western Sahara,-13.67683563,24.79324356
Yemen,47.60453676,15.60865453
Zambia,28.33274444,-13.01812188
Zimbabwe,30.18758584,-19.00784952
